Word,Topic,Category,Subcategory
rewarding,Governance,Corporate Governance,Remuneration
rewards,Governance,Corporate Governance,Remuneration
rsu,Governance,Corporate Governance,Remuneration
rsus,Governance,Corporate Governance,Remuneration
salaries,Governance,Corporate Governance,Remuneration
salary,Governance,Corporate Governance,Remuneration
severance,Governance,Corporate Governance,Remuneration
vest,Governance,Corporate Governance,Remuneration
vested,Governance,Corporate Governance,Remuneration
vesting,Governance,Corporate Governance,Remuneration
vests,Governance,Corporate Governance,Remuneration
ballot,Governance,Corporate Governance,Shareholder rights
ballots,Governance,Corporate Governance,Shareholder rights
cast,Governance,Corporate Governance,Shareholder rights
consent,Governance,Corporate Governance,Shareholder rights
elect,Governance,Corporate Governance,Shareholder rights
elected,Governance,Corporate Governance,Shareholder rights
electing,Governance,Corporate Governance,Shareholder rights
election,Governance,Corporate Governance,Shareholder rights
elections,Governance,Corporate Governance,Shareholder rights
elects,Governance,Corporate Governance,Shareholder rights
nominate,Governance,Corporate Governance,Shareholder rights
nominated,Governance,Corporate Governance,Shareholder rights
plurality,Governance,Corporate Governance,Shareholder rights
proponent,Governance,Corporate Governance,Shareholder rights
proponents,Governance,Corporate Governance,Shareholder rights
proposal,Governance,Corporate Governance,Shareholder rights
proposals,Governance,Corporate Governance,Shareholder rights
proxies,Governance,Corporate Governance,Shareholder rights
quorum,Governance,Corporate Governance,Shareholder rights
vote,Governance,Corporate Governance,Shareholder rights
voted,Governance,Corporate Governance,Shareholder rights
votes,Governance,Corporate Governance,Shareholder rights
voting,Governance,Corporate Governance,Shareholder rights
brother,Governance,Corporate Governance,Transparency
clicking,Governance,Corporate Governance,Transparency
conflict,Governance,Corporate Governance,Transparency
conflicts,Governance,Corporate Governance,Transparency
family,Governance,Corporate Governance,Transparency
grandchildren,Governance,Corporate Governance,Transparency
grandparent,Governance,Corporate Governance,Transparency
grandparents,Governance,Corporate Governance,Transparency
inform,Governance,Corporate Governance,Transparency
insider,Governance,Corporate Governance,Transparency
insiders,Governance,Corporate Governance,Transparency
inspector,Governance,Corporate Governance,Transparency
inspectors,Governance,Corporate Governance,Transparency
interlocks,Governance,Corporate Governance,Transparency
nephews,Governance,Corporate Governance,Transparency
nieces,Governance,Corporate Governance,Transparency
posting,Governance,Corporate Governance,Transparency
relatives,Governance,Corporate Governance,Transparency
siblings,Governance,Corporate Governance,Transparency
sister,Governance,Corporate Governance,Transparency
son,Governance,Corporate Governance,Transparency
spousal,Governance,Corporate Governance,Transparency
spouse,Governance,Corporate Governance,Transparency
spouses,Governance,Corporate Governance,Transparency
stepchildren,Governance,Corporate Governance,Transparency
stepparents,Governance,Corporate Governance,Transparency
transparency,Governance,Corporate Governance,Transparency
transparent,Governance,Corporate Governance,Transparency
visit,Governance,Corporate Governance,Transparency
visiting,Governance,Corporate Governance,Transparency
visits,Governance,Corporate Governance,Transparency
webpage,Governance,Corporate Governance,Transparency
website,Governance,Corporate Governance,Transparency
attract,Governance,Corporate Governance,Talent
attracting,Governance,Corporate Governance,Talent
attracts,Governance,Corporate Governance,Talent
incentive,Governance,Corporate Governance,Talent
incentives,Governance,Corporate Governance,Talent
interview,Governance,Corporate Governance,Talent
interviews,Governance,Corporate Governance,Talent
motivate,Governance,Corporate Governance,Talent
motivated,Governance,Corporate Governance,Talent
motivates,Governance,Corporate Governance,Talent
motivating,Governance,Corporate Governance,Talent
motivation,Governance,Corporate Governance,Talent
recruit,Governance,Corporate Governance,Talent
recruiting,Governance,Corporate Governance,Talent
recruitment,Governance,Corporate Governance,Talent
retain,Governance,Corporate Governance,Talent
retainer,Governance,Corporate Governance,Talent
retainers,Governance,Corporate Governance,Talent
retaining,Governance,Corporate Governance,Talent
retention,Governance,Corporate Governance,Talent
talent,Governance,Corporate Governance,Talent
talented,Governance,Corporate Governance,Talent
talents,Governance,Corporate Governance,Talent
compliance,Governance,Corporate Governance,-
conduct,Governance,Corporate Governance,-
conformity,Governance,Corporate Governance,-
governance,Governance,Corporate Governance,-
misconduct,Governance,Corporate Governance,-
parachute,Governance,Corporate Governance,-
parachutes,Governance,Corporate Governance,-
perquisites,Governance,Corporate Governance,-
plane,Governance,Corporate Governance,-
planes,Governance,Corporate Governance,-
poison,Governance,Corporate Governance,-
retirement,Governance,Corporate Governance,-
align,Governance,-,-
aligned,Governance,-,-
aligning,Governance,-,-
alignment,Governance,-,-
aligns,Governance,-,-
bylaw,Governance,-,-
bylaws,Governance,-,-
charter,Governance,-,-
charters,Governance,-,-
culture,Governance,-,-
death,Governance,-,-
duly,Governance,-,-
parents,Governance,-,-
independent,Governance,-,-
cobc,Governance,Business Ethics,-
ethic,Governance,Business Ethics,-
ethical,Governance,Business Ethics,-
ethically,Governance,Business Ethics,-
ethics,Governance,Business Ethics,-
honesty,Governance,Business Ethics,-
bribery,Governance,Business Ethics,Bribery and Corruption
corrupt,Governance,Business Ethics,Bribery and Corruption
corruption,Governance,Business Ethics,Bribery and Corruption
crimes,Governance,Business Ethics,Bribery and Corruption
embezzlement,Governance,Business Ethics,Bribery and Corruption
grassroots,Governance,Business Ethics,Political influence
influence,Governance,Business Ethics,Political influence
influences,Governance,Business Ethics,Political influence
influencing,Governance,Business Ethics,Political influence
lobbied,Governance,Business Ethics,Political influence
lobbies,Governance,Business Ethics,Political influence
lobby,Governance,Business Ethics,Political influence
lobbying,Governance,Business Ethics,Political influence
lobbyist,Governance,Business Ethics,Political influence
lobbyists,Governance,Business Ethics,Political influence
whistleblower,Governance,Business Ethics,Whistle-blowing system
announce,Governance,Sustainability Management and Reporting,-
announced,Governance,Sustainability Management and Reporting,-
announcement,Governance,Sustainability Management and Reporting,-
announcements,Governance,Sustainability Management and Reporting,-
announces,Governance,Sustainability Management and Reporting,-
announcing,Governance,Sustainability Management and Reporting,-
communicate,Governance,Sustainability Management and Reporting,-
communicated,Governance,Sustainability Management and Reporting,-
communicates,Governance,Sustainability Management and Reporting,-
communicating,Governance,Sustainability Management and Reporting,-
erm,Governance,Sustainability Management and Reporting,-
fairly,Governance,Sustainability Management and Reporting,-
integrity,Governance,Sustainability Management and Reporting,-
liaison,Governance,Sustainability Management and Reporting,-
presentation,Governance,Sustainability Management and Reporting,-
presentations,Governance,Sustainability Management and Reporting,-
sustainable,Governance,Sustainability Management and Reporting,-
asc,Governance,Sustainability Management and Reporting,Disclosure and reporting
disclose,Governance,Sustainability Management and Reporting,Disclosure and reporting
disclosed,Governance,Sustainability Management and Reporting,Disclosure and reporting
discloses,Governance,Sustainability Management and Reporting,Disclosure and reporting
disclosing,Governance,Sustainability Management and Reporting,Disclosure and reporting
disclosure,Governance,Sustainability Management and Reporting,Disclosure and reporting
disclosures,Governance,Sustainability Management and Reporting,Disclosure and reporting
fasb,Governance,Sustainability Management and Reporting,Disclosure and reporting
gaap,Governance,Sustainability Management and Reporting,Disclosure and reporting
objectivity,Governance,Sustainability Management and Reporting,Disclosure and reporting
press,Governance,Sustainability Management and Reporting,Disclosure and reporting
sarbanes,Governance,Sustainability Management and Reporting,Disclosure and reporting
engagement,Governance,Sustainability Management and Reporting,Stakeholder engagement
 engagements,Governance,Sustainability Management and Reporting,Stakeholder engagement
 feedback,Governance,Sustainability Management and Reporting,Stakeholder engagement
 hotline,Governance,Sustainability Management and Reporting,Stakeholder engagement
investor,Governance,Sustainability Management and Reporting,Stakeholder engagement
 invite,Governance,Sustainability Management and Reporting,Stakeholder engagement
 invited,Governance,Sustainability Management and Reporting,Stakeholder engagement
 mail,Governance,Sustainability Management and Reporting,Stakeholder engagement
 mailed,Governance,Sustainability Management and Reporting,Stakeholder engagement
 mailing,Governance,Sustainability Management and Reporting,Stakeholder engagement
 mailings,Governance,Sustainability Management and Reporting,Stakeholder engagement
 notice,Governance,Sustainability Management and Reporting,Stakeholder engagement
 relations,Governance,Sustainability Management and Reporting,Stakeholder engagement
stakeholder,Governance,Sustainability Management and Reporting,Stakeholder engagement
 stakeholders,Governance,Sustainability Management and Reporting,Stakeholder engagement
compact,Governance,Sustainability Management and Reporting,UNGC compliance
 ungc,Governance,Sustainability Management and Reporting,UNGC compliance
biofuels,Environmental,Climate Change,Biofuels
 biofuel,Environmental,Climate Change,Biofuels
green,Environmental,Climate Change,Climate change strategy
 renewable,Environmental,Climate Change,Climate change strategy
 solar,Environmental,Climate Change,Climate change strategy
 stewardship,Environmental,Climate Change,Climate change strategy
 wind,Environmental,Climate Change,Climate change strategy
emission,Environmental,Climate Change,Emissions management and reporting
 emissions,Environmental,Climate Change,Emissions management and reporting
 ghg,Environmental,Climate Change,Emissions management and reporting
 ghgs,Environmental,Climate Change,Emissions management and reporting
greenhouse,Environmental,Climate Change,Emissions management and reporting
 atmosphere,Environmental,Climate Change,Emissions management and reporting
 emit,Environmental,Climate Change,Emissions management and reporting
zoning,Environmental,Ecosystem Service,Access to land
biodiversity,Environmental,Ecosystem Service,Biodiversity management
 species,Environmental,Ecosystem Service,Biodiversity management
 wilderness,Environmental,Ecosystem Service,Biodiversity management
wildlife,Environmental,Ecosystem Service,Biodiversity management
freshwater,Environmental,Ecosystem Service,Water
 groundwater,Environmental,Ecosystem Service,Water
 water,Environmental,Ecosystem Service,Water
air,Environmental,Environmental Management,Pollution control
 carbon,Environmental,Environmental Management,Pollution control
 nitrogen,Environmental,Environmental Management,Pollution control
 pollution,Environmental,Environmental Management,Pollution control
 superfund,Environmental,Environmental Management,Pollution control
biphenyls,Environmental,Environmental Management,Waste and recycling
 hazardous,Environmental,Environmental Management,Waste and recycling
 householding,Environmental,Environmental Management,Waste and recycling
pollutants,Environmental,Environmental Management,Waste and recycling
 printing,Environmental,Environmental Management,Waste and recycling
 recycling,Environmental,Environmental Management,Waste and recycling
 toxic,Environmental,Environmental Management,Waste and recycling
 waste,Environmental,Environmental Management,Waste and recycling
 wastes,Environmental,Environmental Management,Waste and recycling
 weee,Environmental,Environmental Management,Waste and recycling
 recycle,Environmental,Environmental Management,Waste and recycling
climate,Environmental,Climate Change,-
warming,Environmental,Climate Change,-
agriculture,Environmental,Ecosystem Service,-
 deforestation,Environmental,Ecosystem Service,-
pesticide,Environmental,Ecosystem Service,-
 pesticides,Environmental,Ecosystem Service,-
 wetlands,Environmental,Ecosystem Service,-
cleaner,Environmental,Environmental Management,-
 cleanup,Environmental,Environmental Management,-
 coal,Environmental,Environmental Management,-
contamination,Environmental,Environmental Management,-
 fossil,Environmental,Environmental Management,-
 resource,Environmental,Environmental Management,-
clean,Environmental,-,-
environmental,Environmental,-,-
epa,Environmental,-,-
sustainability,Environmental,-,-
childbirth,Social,Public Health,Access to medicine
 drug,Social,Public Health,Access to medicine
 medicaid,Social,Public Health,Access to medicine
 medicare,Social,Public Health,Access to medicine
medicine,Social,Public Health,Access to medicine
 medicines,Social,Public Health,Access to medicine
hiv,Social,Public Health,HIV and AIDS
alcohol,Social,Public Health,Nutrition
drinking,Social,Public Health,Nutrition
bugs,Social,Public Health,Product safety
 conformance,Social,Public Health,Product safety
 defects,Social,Public Health,Product safety
 fda,Social,Public Health,Product safety
 inspection,Social,Public Health,Product safety
inspections,Social,Public Health,Product safety
 minerals,Social,Public Health,Product safety
 standardization,Social,Public Health,Product safety
 warranty,Social,Public Health,Product safety
children,Social,Public Health,-
 epidemic,Social,Public Health,-
 health,Social,Public Health,-
 healthy,Social,Public Health,-
 ill,Social,Public Health,-
illness,Social,Public Health,-
 pandemic,Social,Public Health,-
communities,Social,Human Rights,Community relations
 community,Social,Human Rights,Community relations
expression,Social,Human Rights,Privacy and free expression
 marriage,Social,Human Rights,Privacy and free expression
 privacy,Social,Human Rights,Privacy and free expression
peace,Social,Human Rights,Security
dignity,Social,Human Rights,-
 discriminate,Social,Human Rights,-
discriminated,Social,Human Rights,-
 discriminating,Social,Human Rights,-
discrimination,Social,Human Rights,-
 equality,Social,Human Rights,-
 freedom,Social,Human Rights,-
 humanity,Social,Human Rights,-
nondiscrimination,Social,Human Rights,-
sexual,Social,Human Rights,-
bisexual,Social,Labor Standards,Diversity
 diversity,Social,Labor Standards,Diversity
 ethnic,Social,Labor Standards,Diversity
 ethnically,Social,Labor Standards,Diversity
 ethnicities,Social,Labor Standards,Diversity
ethnicity,Social,Labor Standards,Diversity
 female,Social,Labor Standards,Diversity
 females,Social,Labor Standards,Diversity
 gay,Social,Labor Standards,Diversity
 gays,Social,Labor Standards,Diversity
 gender,Social,Labor Standards,Diversity
 genders,Social,Labor Standards,Diversity
 homosexual,Social,Labor Standards,Diversity
 immigration,Social,Labor Standards,Diversity
lesbian,Social,Labor Standards,Diversity
 lesbians,Social,Labor Standards,Diversity
 lgbt,Social,Labor Standards,Diversity
 minorities,Social,Labor Standards,Diversity
 minority,Social,Labor Standards,Diversity
 ms,Social,Labor Standards,Diversity
 race,Social,Labor Standards,Diversity
 racial,Social,Labor Standards,Diversity
religion,Social,Labor Standards,Diversity
 religious,Social,Labor Standards,Diversity
 sex,Social,Labor Standards,Diversity
 transgender,Social,Labor Standards,Diversity
 woman,Social,Labor Standards,Diversity
 women,Social,Labor Standards,Diversity
occupational,Social,Labor Standards,Health and safety
 safe,Social,Labor Standards,Health and safety
 safely,Social,Labor Standards,Health and safety
 safety,Social,Labor Standards,Health and safety
ilo,Social,Labor Standards,ILO core conventions
 labour,Social,Labor Standards,ILO core conventions
eicc,Social,Labor Standards,Supply chain labor standards
bargaining,Social,Labor Standards,-
 eeo,Social,Labor Standards,-
 fairness,Social,Labor Standards,-
 fla,Social,Labor Standards,-
harassment,Social,Labor Standards,-
 injury,Social,Labor Standards,-
 labor,Social,Labor Standards,-
overtime,Social,Labor Standards,-
 ruggie,Social,Labor Standards,-
 sick,Social,Labor Standards,-
 wage,Social,Labor Standards,-
 wages,Social,Labor Standards,-
workplace,Social,Labor Standards,-
charitable,Social,Society,Charity
 charities,Social,Society,Charity
 charity,Social,Society,Charity
 donate,Social,Society,Charity
 donated,Social,Society,Charity
 donates,Social,Society,Charity
 donating,Social,Society,Charity
donation,Social,Society,Charity
 donations,Social,Society,Charity
 donors,Social,Society,Charity
 foundation,Social,Society,Charity
 foundations,Social,Society,Charity
 gift,Social,Society,Charity
 gifts,Social,Society,Charity
 nonprofit,Social,Society,Charity
poverty,Social,Society,Charity
courses,Social,Society,Education
 educate,Social,Society,Education
 educated,Social,Society,Education
 educates,Social,Society,Education
 educating,Social,Society,Education
education,Social,Society,Education
 educational,Social,Society,Education
 learning,Social,Society,Education
 mentoring,Social,Society,Education
 scholarships,Social,Society,Education
 teach,Social,Society,Education
 teacher,Social,Society,Education
teachers,Social,Society,Education
 teaching,Social,Society,Education
 training,Social,Society,Education
employ,Social,Society,Employment
 employment,Social,Society,Employment
 headcount,Social,Society,Employment
 hire,Social,Society,Employment
 hired,Social,Society,Employment
 hires,Social,Society,Employment
 hiring,Social,Society,Employment
staffing,Social,Society,Employment
 unemployment,Social,Society,Employment
endowment,Social,Society,-
 endowments,Social,Society,-
 people,Social,Society,-
philanthropic,Social,Society,-
 philanthropy,Social,Society,-
socially,Social,Society,-
 societal,Social,Society,-
 society,Social,Society,-
 welfare,Social,Society,-
citizen,Social,-,-
 citizens,Social,-,-
csr,Social,-,-
 disabilities,Social,-,-
disability,Social,-,-
disabled,Social,-,-
human,Social,-,-
 nations,Social,-,-
social,Social,-,-
 un,Social,-,-
veteran,Social,-,-
veterans,Social,-,-
vulnerable,Social,-,-
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
